doi,name,affiliation,publisher
10.15493/saeon.ndlovu.10000003,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network
10.15493/saeon.ndlovu.10000002,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network
10.15493/saeon.ndlovu.10000001,R.E. Lerm,"SAEON Ndlovu Node, Phalaborwa Gate, Kruger National Park, Limpopo Province, South Africa, Email: rion@saeon.ac.za",South African Environmental Observation Network
10.18140/flx/1440184,"Belelli, Luca",VU University Amsterdam,FluxNet; University of Tuscia - Vietrbo
10.5281/zenodo.3604117,"Brummer, G.-J.A.",NIOZ & VU Amsterdam,Zenodo
10.5281/zenodo.3604118,"Brummer, G.-J.A.",NIOZ & VU Amsterdam,Zenodo
10.5061/dryad.1bm8c,"Voudouris, Dimitris",VU University Amsterdam,Dryad
10.5061/dryad.kk504,"Derkzen, Marthe L.",VU University Amsterdam,Dryad
10.5061/dryad.sm925,"Van Der Kooij, Katinka",VU University Amsterdam,Dryad
10.5061/dryad.9gc00,"Suring, Wouter",VU University Amsterdam,Dryad
10.5061/dryad.08c2k,"Werner, Gijsbert D. A.",VU University Amsterdam,Dryad
10.5061/dryad.m112v,"Huibers, Marcus J. H.",VU University Amsterdam; University of Pennsylvania,Dryad
10.5061/dryad.2j4qs89,"Liefting, Maartje",VU University Amsterdam; Freie Universität Berlin,Dryad
10.5061/dryad.n6k49,"Zuo, Juan",VU University Amsterdam,Dryad
10.5061/dryad.2kj8p,"Werner, Gijsbert D. A.",VU University Amsterdam; University of Oxford,Dryad
10.5061/dryad.56cn8015,"Verbruggen, Erik",VU University Amsterdam,Dryad
10.5061/dryad.m6dn0g8,"Ellers, Jacintha",VU University Amsterdam,Dryad
10.5061/dryad.6j9v0,"Engelmoer, Daniel J. P.",VU University Amsterdam,Dryad
10.5061/dryad.83dv5j7,"Goriounova, Natalia A",VU University Amsterdam,Dryad
10.5061/dryad.dg124q0,"Chen, Cong",Nederlands Instituut voor Ecologie; VU University Amsterdam,Dryad
10.5061/dryad.q09g2,"Fujii, Saori",Kyoto University; VU University Amsterdam; Yokohama National University,Dryad
10.5061/dryad.g3m1g92,"Blauw, Luke G.",VU University Amsterdam,Dryad
10.5061/dryad.6r6pn,"Krab, Eveline J.",VU University Amsterdam; Umeå University,Dryad
10.5061/dryad.t39g3,"Van Egmond, Emily M.",VU University Amsterdam,Dryad
10.5061/dryad.3723p,"Testa-Silva, Guilherme",VU University Amsterdam; Erasmus University Medical Center; Netherlands Institute for Neuroscience,Dryad
10.5281/zenodo.3468500,"Mahaki, Mohammadreza",VU Amsterdam,Zenodo
10.5281/zenodo.3468501,"Mahaki, Mohammadreza",VU Amsterdam,Zenodo
10.15139/s3/0yxg2j,"Righetti, Francesca",(VU Amsterdam),UNC Dataverse
10.15139/s3/fkgdkb,"Righetti, Francesca",(VU Amsterdam),UNC Dataverse
10.7910/dvn/z7p7rl,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/ekeqfi,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/uexqs8,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/dsrtwp,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/uvkama,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/rhkfjm,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/qjzc3b,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/alnb2x,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/m9tyxk,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/z7p7rl/cfvbom,"Artiga Gonzalez, Tanja",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/f07sew,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.4232/1.11792,"Ganzeboom, Harry","VU University Amsterdam, Netherlands",GESIS Data Archive
10.7910/dvn/xzqlmv/ykpfui,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/kbdkup,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mpx4kp,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mu52td,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/4jvaa7,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/cmey4i,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ak9dcf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hlpl4k,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/g43gcj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wslgfn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/kqjsad,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/zj6fld,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/e0mynn,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k9i8k4,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/yg71rj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tr1g5g,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/baixv5,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/4ruplm,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tzxxkj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/m05h2m,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wc2w03,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/soincb,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/speueh,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/sntjc9,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mwsokj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ixkjlc,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/6eya1o,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tjd8bf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/y20xee,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/zavc9l,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/lu77fy,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/xpbqvx,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mvzoha,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/feixjh,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/9pb0im,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ozoz3m,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hewqy2,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/s7obhv,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/wthma2,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/7dlu4d,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/g6ehda,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/yagrge,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/g7iogg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/o7127t,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/8ihekg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0kv3ro,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ruh0mk,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/mdd9yw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/k2jmui,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/69jbaq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ud6il8,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pytolf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tzf6np,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/vfod4c,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qbzyak,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hcvhla,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/sx7w0w,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hatwo3,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/5ew9sj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/cxz3kd,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fmfu2g,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/d0iggi,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/em08o3,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pj5iju,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/0rillq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tnolbg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hj4ime,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/hcjljw,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/8x4e1k,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/qqyayf,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ypnvvm,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fpgwpe,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/tfbbcm,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/cfv4iv,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ry1ypz,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/v8fwub,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/6rwpkq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/gf8rdz,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pvitok,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ie443m,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/fiqblr,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/bx0woj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ibanbg,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/xoyjk4,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/esfkzj,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/ermvkq,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/aelinl,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
10.7910/dvn/xzqlmv/pzk0ap,"Van Kesteren, Marlieke",(VU University Amsterdam),Harvard Dataverse
