doi,name,affiliation,publisher,type
10.1042/bj20091714,"Fornuskova, Daniela","Department of Pediatrics, First Faculty of Medicine, Charles University in Prague, Ke Karlovu 2, Prague 2, 128 08, Czech Republic",Portland Press Ltd.,JOUR
10.1021/jz300362k,"Mančal, Tomáš","Institute of Physics, Facultyof Mathematics and Physics, Charles University, Ke Karlovu 5, Prague 121 16, Czech Republic",American Chemical Society (ACS),JOUR
10.1063/1.4919548,"Perlík, Václav","Institute of Physics, Faculty of Mathematics and Physics, Charles University in Prague, Ke Karlovu 5, Prague 121 16, Czech Republic",AIP Publishing,JOUR
10.1063/1.3678335,"Skrbek, L.","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague 2, Czech Republic",AIP Publishing,JOUR
10.1021/acs.jpca.7b08473,"Rusevich, Leonid L.","Instituteof Solid State Physics, University of Latvia, 8 Kengaraga str., Riga LV-1063, Latvia; Institute of Physical Energetics, 11 Krivu str., Riga LV-1006, Latvia",American Chemical Society (ACS),JOUR
10.1016/j.ijdevneu.2008.11.006,"Pometlová, Marie","Charles University in Prague; Third Faculty of Medicine, Department of Normal, Pathological and Clinical Physiology; Ke Karlovu 4, 120 00 Praha 2 Prague Czech Republic",Wiley,JOUR
10.1063/1.4984913,"La Mantia, M.","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 121 16 Prague, Czech Republic",AIP Publishing,JOUR
10.1063/1.4940980,"La Mantia, Marco","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 121 16 Prague, Czech Republic",AIP Publishing,JOUR
10.1063/1.4904472,"Valenta, J.","Faculty of Mathematics and Physics, Department of Chemical Physics &amp; Optics, Charles University, Ke Karlovu 3, 121 16 Prague 2, Czechia",AIP Publishing,JOUR
10.1063/1.4921816,"Varga, Emil","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague, Czech Republic",AIP Publishing,JOUR
10.1002/jmv.24837,"Shindano, Tony A.","Department of Internal Medicine; Université Catholique de Bukavu; Bukavu Democratic Republic of the Congo; Department of Gastroenterology; Cliniques Universitaires Saint-Luc, Université Catholique de Louvain (UCL); Bruxelles Belgium",Wiley,JOUR
10.1139/o06-193,"Courville, P.","Institut National de la Recherche Scientifique, INRS-Institut Armand-Frappier, 531, Bd. des prairies, Laval, QC H7V 1B7, Canada.; Charles University, Faculty of Mathematics and Physics, Institute of Physics, Ke Karlovu 5, 121 16 Prague 2, Czech Republic.",Canadian Science Publishing,JOUR
10.1063/1.4942379,"Jakubisova, Eva Liskova","Faculty of Mathematics and Physics, Charles University, Ke Karlovu 3, 12116 Prague, Czech Republic",AIP Publishing,JOUR
