doi,name,affiliation,publisher,type
10.5281/zenodo.3241773,"Erwich, Christiaan",VU University Amsterdam,Zenodo,Software
10.5281/zenodo.3693074,"Erwich, Christiaan",VU University Amsterdam,Zenodo,Software
10.14768/20200228001.1,"Luyssaert, Sebastiaan",VU Amsterdam,Institut Pierre-Simon Laplace,Software
10.24433/co.8484557.v1,"Versluis, Laurens",VU University Amsterdam,Code Ocean,Software
10.14768/06337394-73a9-407c-9997-0e380dac5595,"Luyssaert, Sebastiaan",VU Amsterdam,Institut Pierre-Simon Laplace,Software
10.5281/zenodo.3572009,"Pellegrino, Maria Angela",University of Salerno,Zenodo,Software
10.5281/zenodo.3572010,"Pellegrino, Maria Angela",University of Salerno,Zenodo,Software
10.14768/06337394-73a9-407c-9997-0e380dac5596,"Luyssaert, Sebastiaan",VU Amsterdam,Institut Pierre-Simon Laplace,Software
10.5281/zenodo.3475970,"Tourbier, Sebastien","Department of Radiology, Lausanne University Hospital (CHUV), Switzerland",Zenodo,Software
10.5281/zenodo.3363360,"Jelisavcic, Milan",VU Amsterdam,Zenodo,Software
10.5281/zenodo.2541556,"Jelisavcic, Milan",VU Amsterdam,Zenodo,Software
10.5281/zenodo.3346465,"Erwich, Christiaan",VU University Amsterdam,Zenodo,Software
10.5281/zenodo.3274284,"Zapata, Felipe",@NLeSC,Zenodo,Software
10.5281/zenodo.3241774,"Erwich, Christiaan",VU University Amsterdam,Zenodo,Software
10.5281/zenodo.3243812,"Erwich, Christiaan",VU University Amsterdam,Zenodo,Software
10.5281/zenodo.2577064,"Zapata, Felipe",@NLeSC,Zenodo,Software
10.5281/zenodo.2577065,"Zapata, Felipe",@NLeSC,Zenodo,Software
10.5281/zenodo.2554324,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.2541557,Elte Hupkes,,Zenodo,Software
10.5281/zenodo.2537116,"Tourbier, Sebastien","Department of Radiology, Lausanne University Hospital (CHUV), Switzerland",Zenodo,Software
10.5281/zenodo.2537108,"Tourbier, Sebastien","Department of Radiology, Lausanne University Hospital (CHUV), Switzerland",Zenodo,Software
10.5281/zenodo.2536779,"Tourbier, Sébastien","Department of Radiology, Lausanne University Hospital (CHUV), Switzerland",Zenodo,Software
10.5281/zenodo.2538030,"Tourbier, Sebastien","Department of Radiology, Lausanne University Hospital (CHUV), Switzerland",Zenodo,Software
10.5281/zenodo.1482699,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1482695,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1482696,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1482692,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.2398336,"Olivier, Brett",VU University Amsterdam,Zenodo,Software
10.5281/zenodo.1472347,"Hoch, Jannis",Utrecht University,Zenodo,Software
10.5281/zenodo.1450333,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1436531,", Lars",,Zenodo,Software
10.5281/zenodo.1436532,", Lars",,Zenodo,Software
10.5281/zenodo.1446393,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1446392,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1435760,"van Dijk, Marc","VU University, Amsterdam",Zenodo,Software
10.5281/zenodo.1450332,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1420493,"Dumitrache, Anca",Vrije Universiteit Amsterdam,Zenodo,Software
10.5281/zenodo.1284430,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
10.5281/zenodo.1435683,"van Dijk, Marc","VU University, Amsterdam",Zenodo,Software
10.5281/zenodo.1340651,"Kingham, Cody",VU Amsterdam,Zenodo,Software
10.5281/zenodo.1340652,"Kingham, Cody",VU Amsterdam,Zenodo,Software
10.5281/zenodo.1302798,"Roorda, Dirk",Data Archiving and Networked Services (DANS),Zenodo,Software
