url,author,dataverse,date
https://hdl.handle.net/10411/20790,"Last, Tamara",VU - Faculty of Law,2016-06-29T00:00:00Z
https://hdl.handle.net/10411/77APHO,J. Kleinnijenhuis; A.M.J. van Hoof; J. van de Pol; A.P.M. Krouwel,Department Communication Science,2017-06-09T14:29:47Z
https://hdl.handle.net/10411/Y4R7GN,"Groffen, Sander",VU - Faculty of Science,2017-07-09T11:13:29Z
https://hdl.handle.net/10411/XNP5G4,"Tulder, van, M",VU - Faculty of Science,2017-06-30T11:55:07Z
https://hdl.handle.net/10411/C5QQGF,"Kappers, Astrid",VU - Faculty of Behavioural and Movement Sciences,2018-09-25T10:43:01Z
https://hdl.handle.net/10411/GO2HVB,"Kleijn, de, Maurice",VU - School of Business and Economics,2018-05-09T12:26:16Z
https://hdl.handle.net/10411/GYPPBR,"Veer, van 't, Rein",VU - School of Business and Economics,2018-12-04T13:02:43Z
https://hdl.handle.net/10411/UA6UZG,"Groffen, AJA",VU - Faculty of Science,2018-10-22T16:07:16Z
https://hdl.handle.net/10411/PTQG6C,"Sijbrandij, M.",VU - Faculty of Behavioural and Movement Sciences,2018-07-03T14:21:21Z
https://hdl.handle.net/10411/QVPJRM,"Kleinnijenhuis, Jan; Van Atteveldt, Wouter",VU - Faculty of Social Sciences,2018-07-24T21:58:25Z
https://hdl.handle.net/10411/RDMFJ9,"Veer, van 't, Rein",VU - School of Business and Economics,2018-09-18T13:49:00Z
https://hdl.handle.net/10411/J4KKPF,"Melein, M",VU - Faculty of Science,2018-10-18T06:56:43Z
https://hdl.handle.net/10411/UC5NK5,"Vonkeman, Charlotte",VU - School of Business and Economics,2018-12-09T09:39:10Z
https://hdl.handle.net/10411/LDDYSJ,"Van Lange, PAM; Manesi, Z; Meershoek, RWJ; Yuan, M; Dong, M; Van Doesum, NJ",VU - Faculty of Behavioural and Movement Sciences,2018-12-20T10:35:53Z
https://hdl.handle.net/10411/YDUA7T,"Kleinnijenhuis, Jan; Hartmann, Tilo; Tanis, Martin; Van Hoof, Anita M.J.",VU - Faculty of Social Sciences,2019-01-22T20:55:42Z
https://hdl.handle.net/10411/BVGM0L,"Eigenraam, Anniek W.; Eelen, J; Van Lin, A.; Verlegh, P.W.J.",VU - School of Business and Economics,2019-02-25T14:15:36Z
https://hdl.handle.net/10411/0JFYGF,"Houdijk, Han",VU - Faculty of Behavioural and Movement Sciences,2019-03-29T14:20:38Z
https://hdl.handle.net/10411/BWCOHC,"De Waal-Andrews, Wendy; Van Beest, Ilja",VU - Faculty of Behavioural and Movement Sciences,2019-03-05T15:12:36Z
https://hdl.handle.net/10411/APWESF,"Balint, Katalin Eva; Michelle Troxler",VU - Faculty of Social Sciences,2019-03-15T18:05:54Z
https://hdl.handle.net/10411/QCQDEQ,"Malek, Ziga; Verburg, Peter H; Geijzendorffer, Ilse R; Bondeau, Alberte; Cramer, Wolfgang",VU - Faculty of Science,2019-04-02T12:48:35Z
https://hdl.handle.net/10411/I1A9IE,"Malek, Ziga; Verburg, Peter, H",VU - Faculty of Science,2019-04-02T12:22:08Z
https://hdl.handle.net/10411/QNICAO,"Prestele, Reinhard; Hirsch, Annette, L.; Davin, Edowuard, L.; Seneviratne, Sonia, I.; Verburg, Peter, H.",VU - Faculty of Science,2019-05-09T11:27:48Z
https://hdl.handle.net/10411/DBUVFV,"Schrammeijer, Bep; Verburg, Peter, H.",VU - Faculty of Science,2019-05-09T11:49:37Z
https://hdl.handle.net/10411/T9PLUL,"Koomen, Eric",VU - School of Business and Economics,2019-05-13T12:57:50Z
https://hdl.handle.net/10411/PYLTOJ,"Kiruki, Harun",VU - Faculty of Science,2019-06-18T14:43:55Z
https://hdl.handle.net/10411/LUUVQL,"Balint, Katalin Eva",VU - Faculty of Social Sciences,2019-07-22T15:22:18Z
https://hdl.handle.net/10411/YKVWOA,"Malek, Ziga; Douw, Bianka; van Vliet, Jasper; van der Zanden, Emma; Verburg, Peter",VU - Faculty of Science,2019-07-24T14:00:30Z
https://hdl.handle.net/10411/I6Q2G2,"BOURGEOIS, Quentin Thomas; Matthijs Verhage; Alexander J. Groffen",VU - Faculty of Science,2019-08-29T11:48:46Z
https://hdl.handle.net/10411/GT8VBP,"Malek, Ziga; Tieskens, Koen; Verburg, Peter",VU - Faculty of Science,2019-09-02T08:50:20Z
https://hdl.handle.net/10411/9BDZJQ,"Li, Mengmeng; van Vliet, Jasper; Ke, Xinli; Verburg, Peter",VU - Faculty of Science,2019-09-09T08:40:57Z
https://hdl.handle.net/10411/NYLQWW,"Couasnon, Anaïs; de Ruiter, Marleen C.",VU - Faculty of Science,2019-09-12T15:25:48Z
https://hdl.handle.net/10411/XDZD4A,"Schutgens, Nick",VU - Faculty of Science,2019-09-21T08:56:43Z
https://hdl.handle.net/10411/AHWR9O,Wendy Janssens; Berber Kramer; Marijn van der List; David Paper,VU - School of Business and Economics,2019-11-18T10:25:51Z
https://hdl.handle.net/10411/41KALW,"Janssen, Thomas",VU - Faculty of Science,2020-01-08T08:53:17Z
https://hdl.handle.net/10411/JJOZKK,"Broeder, Lisa",VU - Faculty of Science,2020-01-27T17:35:22Z
https://hdl.handle.net/10411/HHFE9F,"Koomen, Eric",VU - School of Business and Economics,2020-02-26T12:13:57Z
