Name	URI	Priority	Description
B2Safe	https://www.eudat.eu/b2safe	none	Empty
B2Share	https://b2share.eudat.eu/	high	Empty
Dataverse project	https://dataverse.org/	none	Dataverse is an open source web application to share, preserve, cite, explore and analyse research data
DataverseNL	https://dataverse.nl/	high	Empty
Digital Commons	http://digitalcommons.bepress.com/	low	Hosted OAI-PMH compliant insitutional repository platform
Dryad	https://datadryad.org/stash	low	developing with Zenodo
Dspace	http://www.dspace.org/	low	Open source (BSD) turnkey repository software
EPrints	http://www.eprints.org/uk/index.php/eprints-software/	low	Open source (GPL) software for building OAI-PMH compliant open access repositories
FAIRDOMHub	https://www.fairdomhub.org/	domain specific	The FAIRDOMHub is built upon the SEEK software suite, which is an open source web platform for sharing scientific research assets, processes and outcomes
Fedora Commons	https://duraspace.org/fedora/	framework	Empty
Figshare	https://figshare.com/	high	Commercial online digital repository adhering to the open data principle
Galaxy	https://galaxyproject.org/	workflow management	Galaxy is an open, web-based platform for accessible, reproducible, and transparent computational research.
Globus	https://www.globus.org/	low	Empty
Haplo	http://haplo.org/	low	Open source platform for information applications. Haplo provides the complete stack, from database to user interface
Haplo repository	https://www.haplo.com/repository	low	Empty
IBM Spectrum Scale	https://www.ibm.com/nl-en/marketplace/scale-out-file-and-object-storage	storage middleware	IBM Spectrum Scale meets these challenges as a high-performance solution for managing data at scale with the distinctive ability to perform archive and analytics in place.
Invenio	https://github.com/inveniosoftware/invenio	in development	Open source (GPL) software suite used to run online document repositories developed by CERN
iRODS	https://irods.org/	storage middleware	Empty
Islandora	http://islandora.ca/	framework	Open source (GPL) digital repository software based on the Fedora framework and drupal
Mendeley Data	https://data.mendeley.com/	high	Empty
OSF	https://osf.io/	high	Empty
ReDBox	https://www.redboxresearchdata.com.au/	low	Open source RDM platform that assists researchers and institutions to plan, create and publish their research data assets
RSpace	https://www.researchspace.com/	low	elab journal
Samvera	https://samvera.org/	framework	Open source (Apache 2) repository environment based on Fedora framework and Ruby on Rails
SURF Sharekit	https://www.surf.nl/surfsharekit-de-online-opslagplaats-voor-het-hoger-onderwijs	none	
Taverna	https://taverna.incubator.apache.org/	workflow management	Empty
Yoda	https://yoda.uu.nl/	high	Empty
Zenodo	https://github.com/zenodo/zenodo	high	Open source (GPL) sharing and preservation layer for Invenio
